GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant,aka.jmetadata.test,JMetaDataMenu_Test,24,3578,3,3,6,1421,3,707,0,707
JaCoCo Ant,aka.jmetadata.test,JMetaDataText_Test,24,8962,3,3,6,3565,3,1779,0,1779
JaCoCo Ant,aka.jmetadata.test,JMetaDataVideo_Test,1398,11340,3,3,556,4508,277,2250,274,2250
JaCoCo Ant,aka.jmetadata.test,JMetaDataAudio_Test,29,10196,3,3,9,4014,3,2003,0,2003
JaCoCo Ant,aka.jmetadata.test,JMetaDataGeneral_Test,97,12563,2,2,30,4967,11,2476,9,2476
JaCoCo Ant,aka.jmetadata.main.mediainfo,MediaInfo.MediaInfoDLLInternal,5,32,1,1,0,4,1,2,0,2
JaCoCo Ant,aka.jmetadata.main.mediainfo,MediaInfo,216,314,40,38,34,84,42,25,11,17
JaCoCo Ant,aka.jmetadata.main.constants.mediainfo,Text,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant,aka.jmetadata.main.constants.mediainfo,Menu,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant,aka.jmetadata.main.constants.mediainfo,Audio,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant,aka.jmetadata.main.constants.mediainfo,Video,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant,aka.jmetadata.main.constants.mediainfo,General,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant,aka.jmetadata.main.constants.profile,AudioProfileEnum,307,0,8,0,36,0,11,0,7,0
JaCoCo Ant,aka.jmetadata.main.helper,DateTimeHelper,4,50,0,4,3,15,1,5,1,3
JaCoCo Ant,aka.jmetadata.main.helper,MediaInfoHelper,111,0,10,0,21,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.helper,DateFormat,8,56,0,0,1,9,2,4,2,4
JaCoCo Ant,aka.jmetadata.main.constants.codecs,VideoMatroskaCodecIdEnum,627,0,10,0,41,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.constants.codecs,AudioRealCodecIdEnum,467,0,10,0,33,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.constants.codecs,TextMpeg4CodecIdEnum,243,0,10,0,25,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.constants.codecs,TextMatroskaCodecIdEnum,411,0,10,0,31,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.constants.codecs,AudioMpeg4CodecIdEnum,915,0,10,0,55,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.constants.codecs,GeneralOthersCodecIdEnum,115,0,10,0,19,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.constants.codecs,GeneralMpeg4CodecIdEnum,1463,0,10,0,75,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.constants.codecs,VideoRealCodecIdEnum,195,0,10,0,22,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.constants.codecs,AudioMatroskaCodecIdEnum,843,0,10,0,53,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.constants.codecs,VideoMpeg4CodecIdEnum,4843,0,10,0,211,0,11,0,6,0
JaCoCo Ant,aka.jmetadata.main.exception,LibNotfoundException,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant,aka.jmetadata.main.constants.kind,InfoKind,9,99,0,0,0,10,2,2,2,2
JaCoCo Ant,aka.jmetadata.main.constants.kind,StreamKind,9,79,0,0,0,8,2,2,2,2
JaCoCo Ant,aka.jmetadata.main.constants.format,FormatEnum,1891,0,8,0,168,0,11,0,7,0
JaCoCo Ant,aka.jmetadata.main,JMetaDataMenu,8,5629,0,0,1,705,1,704,1,704
JaCoCo Ant,aka.jmetadata.main,JMetaDataText,8,14205,0,0,1,1777,1,1776,1,1776
JaCoCo Ant,aka.jmetadata.main,JMetaDataVideo,0,20165,0,0,0,2522,0,2521,0,2521
JaCoCo Ant,aka.jmetadata.main,JMetaDataAudio,8,15997,0,0,1,2001,1,2000,1,2000
JaCoCo Ant,aka.jmetadata.main,AbstractJMetadata,46,15,9,1,8,5,6,3,1,3
JaCoCo Ant,aka.jmetadata.main,AbstractStreamJMetadata,0,10,0,0,0,4,0,2,0,2
JaCoCo Ant,aka.jmetadata.main,JMetaData,52,248,5,13,15,59,6,19,2,14
JaCoCo Ant,aka.jmetadata.main,JMetaDataGeneral,9090,17377,1867,1,1877,2484,1256,2483,322,2483
JaCoCo Ant,aka.jmetadata.main.constants.video,Resolution,249,0,8,0,37,0,15,0,11,0
JaCoCo Ant,aka.jmetadata.main.constants.video,AspectRatio,220,0,8,0,33,0,13,0,9,0
